----------------------------------------------------------------------
My Process Log
Log file created at : Sun Jun  2 10:27:43 2024
----------------------------------------------------------------------
CONTENTS OF LOG FILE
----------------------------------------------------------------------
{'name': 'System Idle Process', 'username': 'NT AUTHORITY\\SYSTEM', 'pid': 0} 
{'name': 'System', 'username': 'NT AUTHORITY\\SYSTEM', 'pid': 4} 
{'name': 'Registry', 'username': None, 'pid': 108} 
{'name': 'unsecapp.exe', 'username': 'DESKTOP-31LSV6D\\91779', 'pid': 376} 
{'name': 'smss.exe', 'username': None, 'pid': 544} 
{'name': 'lsass.exe', 'username': None, 'pid': 604} 
{'name': 'fontdrvhost.exe', 'username': None, 'pid': 620} 
{'name': 'csrss.exe', 'username': None, 'pid': 812} 
{'name': 'wininit.exe', 'username': None, 'pid': 892} 
{'name': 'svchost.exe', 'username': None, 'pid': 904} 
{'name': 'RuntimeBroker.exe', 'username': 'DESKTOP-31LSV6D\\91779', 'pid': 996} 
{'name': 'services.exe', 'username': None, 'pid': 1008} 
{'name': 'RuntimeBroker.exe', 'username': 'DESKTOP-31LSV6D\\91779', 'pid': 1020} 
{'name': 'svchost.exe', 'username': None, 'pid': 1104} 
{'name': 'svchost.exe', 'username': None, 'pid': 1148} 
{'name': 'OneDrive.exe', 'username': 'DESKTOP-31LSV6D\\91779', 'pid': 1200} 
{'name': 'msedge.exe', 'username': 'DESKTOP-31LSV6D\\91779', 'pid': 1320} 
{'name': 'svchost.exe', 'username': None, 'pid': 1336} 
{'name': 'svchost.exe', 'username': None, 'pid': 1380} 
{'name': 'svchost.exe', 'username': None, 'pid': 1444} 
{'name': 'svchost.exe', 'username': None, 'pid': 1452} 
{'name': 'svchost.exe', 'username': None, 'pid': 1464} 
{'name': 'svchost.exe', 'username': None, 'pid': 1476} 
{'name': 'svchost.exe', 'username': None, 'pid': 1496} 
{'name': 'svchost.exe', 'username': None, 'pid': 1528} 
{'name': 'zWebview2Agent.exe', 'username': 'DESKTOP-31LSV6D\\91779', 'pid': 1552} 
{'name': 'svchost.exe', 'username': None, 'pid': 1580} 
{'name': 'svchost.exe', 'username': None, 'pid': 1684} 
{'name': 'svchost.exe', 'username': None, 'pid': 1700} 
{'name': 'IntelCpHDCPSvc.exe', 'username': None, 'pid': 1756} 
{'name': 'svchost.exe', 'username': None, 'pid': 1800} 
{'name': 'FileCoAuth.exe', 'username': 'DESKTOP-31LSV6D\\91779', 'pid': 1812} 
{'name': 'svchost.exe', 'username': None, 'pid': 1912} 
{'name': 'svchost.exe', 'username': None, 'pid': 1920} 
{'name': 'IntelCpHeciSvc.exe', 'username': None, 'pid': 2108} 
{'name': 'svchost.exe', 'username': None, 'pid': 2124} 
{'name': 'svchost.exe', 'username': None, 'pid': 2140} 
{'name': 'svchost.exe', 'username': None, 'pid': 2216} 
{'name': 'svchost.exe', 'username': None, 'pid': 2224} 
{'name': 'svchost.exe', 'username': None, 'pid': 2244} 
{'name': 'igfxCUIService.exe', 'username': None, 'pid': 2252} 
{'name': 'dllhost.exe', 'username': 'DESKTOP-31LSV6D\\91779', 'pid': 2284} 
{'name': 'HPSystemEventUtilityHost.exe', 'username': 'DESKTOP-31LSV6D\\91779', 'pid': 2436} 
{'name': 'SynTPEnhService.exe', 'username': None, 'pid': 2608} 
{'name': 'svchost.exe', 'username': None, 'pid': 2644} 
{'name': 'svchost.exe', 'username': 'DESKTOP-31LSV6D\\91779', 'pid': 2656} 
{'name': 'svchost.exe', 'username': None, 'pid': 2668} 
{'name': 'svchost.exe', 'username': None, 'pid': 2676} 
{'name': 'svchost.exe', 'username': None, 'pid': 2772} 
{'name': 'MemCompression', 'username': None, 'pid': 2792} 
{'name': 'svchost.exe', 'username': None, 'pid': 2808} 
{'name': 'AppHelperCap.exe', 'username': None, 'pid': 2840} 
{'name': 'DiagsCap.exe', 'username': None, 'pid': 2852} 
{'name': 'svchost.exe', 'username': None, 'pid': 2860} 
{'name': 'NetworkCap.exe', 'username': None, 'pid': 2876} 
{'name': 'TouchpointAnalyticsClientService.exe', 'username': None, 'pid': 2920} 
{'name': 'msedgewebview2.exe', 'username': 'DESKTOP-31LSV6D\\91779', 'pid': 2928} 
{'name': 'hp-one-agent-service.exe', 'username': None, 'pid': 2932} 
