----------------------------------------------------------------------
My Process Log
Log file created at : Sun Jun  2 10:29:53 2024
----------------------------------------------------------------------
CONTENTS OF LOG FILE
----------------------------------------------------------------------
{'name': 'System Idle Process', 'pid': 0, 'username': 'NT AUTHORITY\\SYSTEM'} 
{'name': 'System', 'pid': 4, 'username': 'NT AUTHORITY\\SYSTEM'} 
{'name': 'Registry', 'pid': 108, 'username': None} 
{'name': 'unsecapp.exe', 'pid': 376, 'username': 'DESKTOP-31LSV6D\\91779'} 
{'name': 'smss.exe', 'pid': 544, 'username': None} 
{'name': 'lsass.exe', 'pid': 604, 'username': None} 
{'name': 'fontdrvhost.exe', 'pid': 620, 'username': None} 
{'name': 'csrss.exe', 'pid': 812, 'username': None} 
{'name': 'wininit.exe', 'pid': 892, 'username': None} 
{'name': 'svchost.exe', 'pid': 904, 'username': None} 
{'name': 'RuntimeBroker.exe', 'pid': 996, 'username': 'DESKTOP-31LSV6D\\91779'} 
{'name': 'services.exe', 'pid': 1008, 'username': None} 
{'name': 'RuntimeBroker.exe', 'pid': 1020, 'username': 'DESKTOP-31LSV6D\\91779'} 
{'name': 'svchost.exe', 'pid': 1104, 'username': None} 
{'name': 'svchost.exe', 'pid': 1148, 'username': None} 
{'name': 'OneDrive.exe', 'pid': 1200, 'username': 'DESKTOP-31LSV6D\\91779'} 
{'name': 'msedge.exe', 'pid': 1320, 'username': 'DESKTOP-31LSV6D\\91779'} 
{'name': 'svchost.exe', 'pid': 1336, 'username': None} 
{'name': 'svchost.exe', 'pid': 1380, 'username': None} 
{'name': 'svchost.exe', 'pid': 1444, 'username': None} 
{'name': 'svchost.exe', 'pid': 1452, 'username': None} 
{'name': 'svchost.exe', 'pid': 1464, 'username': None} 
{'name': 'svchost.exe', 'pid': 1476, 'username': None} 
{'name': 'svchost.exe', 'pid': 1496, 'username': None} 
{'name': 'svchost.exe', 'pid': 1528, 'username': None} 
{'name': 'zWebview2Agent.exe', 'pid': 1552, 'username': 'DESKTOP-31LSV6D\\91779'} 
