----------------------------------------------------------------------
My Process Log
Log file created at : Sun Jun  2 10:31:53 2024
----------------------------------------------------------------------
CONTENTS OF LOG FILE
----------------------------------------------------------------------
{'pid': 0, 'name': 'System Idle Process', 'username': 'NT AUTHORITY\\SYSTEM'} 
{'pid': 4, 'name': 'System', 'username': 'NT AUTHORITY\\SYSTEM'} 
{'pid': 108, 'name': 'Registry', 'username': None} 
{'pid': 376, 'name': 'unsecapp.exe', 'username': 'DESKTOP-31LSV6D\\91779'} 
{'pid': 544, 'name': 'smss.exe', 'username': None} 
{'pid': 604, 'name': 'lsass.exe', 'username': None} 
{'pid': 620, 'name': 'fontdrvhost.exe', 'username': None} 
{'pid': 812, 'name': 'csrss.exe', 'username': None} 
{'pid': 892, 'name': 'wininit.exe', 'username': None} 
{'pid': 904, 'name': 'svchost.exe', 'username': None} 
{'pid': 996, 'name': 'RuntimeBroker.exe', 'username': 'DESKTOP-31LSV6D\\91779'} 
{'pid': 1008, 'name': 'services.exe', 'username': None} 
{'pid': 1020, 'name': 'RuntimeBroker.exe', 'username': 'DESKTOP-31LSV6D\\91779'} 
{'pid': 1104, 'name': 'svchost.exe', 'username': None} 
{'pid': 1148, 'name': 'svchost.exe', 'username': None} 
{'pid': 1200, 'name': 'OneDrive.exe', 'username': 'DESKTOP-31LSV6D\\91779'} 
{'pid': 1320, 'name': 'msedge.exe', 'username': 'DESKTOP-31LSV6D\\91779'} 
{'pid': 1336, 'name': 'svchost.exe', 'username': None} 
{'pid': 1380, 'name': 'svchost.exe', 'username': None} 
{'pid': 1444, 'name': 'svchost.exe', 'username': None} 
{'pid': 1452, 'name': 'svchost.exe', 'username': None} 
{'pid': 1464, 'name': 'svchost.exe', 'username': None} 
{'pid': 1476, 'name': 'svchost.exe', 'username': None} 
{'pid': 1496, 'name': 'svchost.exe', 'username': None} 
{'pid': 1528, 'name': 'svchost.exe', 'username': None} 
{'pid': 1552, 'name': 'zWebview2Agent.exe', 'username': 'DESKTOP-31LSV6D\\91779'} 
{'pid': 1580, 'name': 'svchost.exe', 'username': None} 
{'pid': 1684, 'name': 'svchost.exe', 'username': None} 
{'pid': 1700, 'name': 'svchost.exe', 'username': None} 
{'pid': 1756, 'name': 'IntelCpHDCPSvc.exe', 'username': None} 
{'pid': 1800, 'name': 'svchost.exe', 'username': None} 
{'pid': 1812, 'name': 'FileCoAuth.exe', 'username': 'DESKTOP-31LSV6D\\91779'} 
{'pid': 1912, 'name': 'svchost.exe', 'username': None} 
{'pid': 1920, 'name': 'svchost.exe', 'username': None} 
{'pid': 2108, 'name': 'IntelCpHeciSvc.exe', 'username': None} 
{'pid': 2124, 'name': 'svchost.exe', 'username': None} 
{'pid': 2140, 'name': 'svchost.exe', 'username': None} 
{'pid': 2216, 'name': 'svchost.exe', 'username': None} 
{'pid': 2224, 'name': 'svchost.exe', 'username': None} 
{'pid': 2244, 'name': 'svchost.exe', 'username': None} 
